Portfolio,Geography,Category,Brand,Segment,Initial_Sales,New_Sales,Margin (%),Margin ($),Applied_Trend (%),Contribution (%),Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Hair/APDO,North America,Tools,Bobbi Brown,Mascara,2161909,2226766.3,35,779368.2049999998,3.0000013876624765,38.78729211674678,-1,3,7,14
Hair/APDO,South America,Fragrance,Kilian,Bronzer,4673125,5374093.8,56,3009492.5280000004,15.000001069947832,55.1913047791611,0,15,4,30
Skin/Body,South America,Make Up Brushes,Bobbi Brown,Toner,4635314,0.0,33,0.0,-100.0,0.0,-1,3,7,14
Fragrance + Color Cosmetics,South America,Face Make-Up,Bobbi Brown,Bronzer,571295,588433.85,38,223604.86299999998,3.0000000000000027,23.56225883634484,-1,3,7,14
Hair/APDO,Europe,Fragrance,Balmain,Bronzer,1325816,0.0,54,0.0,-100.0,0.0,0,15,4,30
Fragrance + Color Cosmetics,South America,Hair Dye,Balmain,Bronzer,4004473,4605144.0,45,2072314.8,15.000001248603745,57.44487497716623,-5,15,5,40
Skin/Body,Asia,Make Up Brushes,Kilian,Mascara,2972189,3418017.4,30,1025405.22,15.000001682261788,19.38558918594081,-5,15,5,40
Skin/Body,North America,Face Make-Up,Kilian,Lipstick,4614639,5306834.8,32,1698187.136,14.99999891649162,73.74464421013289,-5,15,5,40
Hair/APDO,Asia,Fragrance,Bobbi Brown,Toner,1291971,1330730.1,46,612135.846,2.9999976779664594,9.570366569255672,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Elizabeth Arden,Toner,3421944,3661480.1,45,1647666.0450000002,7.000000584463106,42.50821450314,0,7,6,15
Hair/APDO,North America,Tools,Frederic Malle,Mascara,2600021,2704021.8,31,838246.7579999999,3.99999846155088,25.270538229321826,-3,4,4,30
Hair/APDO,Asia,Tools,Kilian,Bronzer,2635619,0.0,30,0.0,-100.0,0.0,0,15,4,30
Skin/Body,Europe,Tools,Bobbi Brown,Toner,4801754,4945806.6,46,2275071.036,2.9999995834855353,27.435276979603362,-1,3,7,14
Hair/APDO,Europe,Tools,Balmain,Toner,2514484,2891656.6,56,1619327.6960000002,15.000000000000014,54.072028755673564,0,15,4,30
Fragrance + Color Cosmetics,North America,Make Up Brushes,Kilian,Fragrance,4272962,4913906.3,57,2800926.5909999995,14.999999999999991,31.11035627700332,-5,15,5,40
Skin/Body,Asia,Fragrance,Bobbi Brown,Bronzer,3951356,4069896.7,59,2401239.053,3.0000005061553647,32.49192233901347,-1,3,7,14
Fragrance + Color Cosmetics,North America,Face Make-Up,Bobbi Brown,Lipstick,3009079,3099351.4,34,1053779.476,3.000000996982788,24.84105749865255,-1,3,7,14
Skin/Body,North America,Tools,Balmain,Bronzer,4835868,5561248.2,30,1668374.46,15.000000000000014,44.519459619201974,-5,15,5,40
Skin/Body,Asia,Fragrance,Balmain,Mascara,1188105,1366320.7,54,737813.1780000001,14.99999579161775,20.903672751634687,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Balmain,Mascara,1605534,1846364.1,44,812400.204,15.000000000000014,12.991524125178444,0,15,4,30
Hair/APDO,Europe,Hair Dye,Frederic Malle,Lipstick,998863,1038817.5,37,384362.475,3.9999979977234146,5.324988715601962,-3,4,4,30
Hair/APDO,North America,Hair Dye,Frederic Malle,Toner,1297079,0.0,47,0.0,-100.0,0.0,-3,4,4,30
Skin/Body,Asia,Hair Dye,Kilian,Bronzer,4428083,5092295.5,42,2138764.11,15.000001129156804,42.34848983378791,-5,15,5,40
Skin/Body,Asia,Make Up Brushes,Balmain,Bronzer,1496161,1720585.1,31,533381.381,14.999996658113668,40.013761448474426,-5,15,5,40
Hair/APDO,South America,Face Make-Up,Kilian,Mascara,4979125,5725993.8,60,3435596.28,15.000001004192498,54.93708593501238,0,15,4,30
Fragrance + Color Cosmetics,Europe,Fragrance,Bobbi Brown,Mascara,2781230,2864666.9,35,1002633.4149999999,3.0000000000000027,22.579101007502132,-1,3,7,14
Fragrance + Color Cosmetics,South America,Make Up Brushes,Aveda,Lipstick,2485588,2858426.2,37,1057617.6940000001,15.000000000000014,31.304879206865348,-5,15,5,40
Skin/Body,South America,Make Up Brushes,Elizabeth Arden,Fragrance,1760386,1883613.0,49,922970.37,6.999998863885537,12.17282408636028,0,7,6,15
Hair/APDO,Asia,Make Up Brushes,Aveda,Mascara,3467197,3987276.6,57,2272747.662,15.000001442087086,59.38887943743939,0,15,4,30
Hair/APDO,North America,Face Make-Up,Bobbi Brown,Mascara,4195961,4321839.8,52,2247356.696,2.999999285026722,17.409552321259312,-1,3,7,14
Skin/Body,Europe,Tools,Elizabeth Arden,Lipstick,3720468,3980900.8,41,1632169.3279999997,7.000001075133544,20.89977742101145,0,7,6,15
Skin/Body,Europe,Hair Dye,Kilian,Mascara,1029525,1183953.8,59,698532.742,15.00000485660864,17.916252746994832,-5,15,5,40
Skin/Body,Asia,Tools,Aveda,Lipstick,4199391,4829299.7,45,2173184.865,15.000001190648838,34.413565528654765,-5,15,5,40
Hair/APDO,North America,Tools,Balmain,Bronzer,2664367,3064022.1,55,1685212.1550000003,15.000001876618363,53.610234847878026,0,15,4,30
Hair/APDO,North America,Fragrance,Aveda,Bronzer,2248014,2585216.1,34,878973.474,15.000000000000014,37.80608357985056,0,15,4,30
Skin/Body,Europe,Make Up Brushes,Aveda,Bronzer,1264121,1453739.2,45,654182.64,15.000003955317576,27.308415087461498,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Tools,Bobbi Brown,Lipstick,1607677,1655907.3,59,976985.307,2.999999377984519,17.09677194875538,-1,3,7,14
Skin/Body,South America,Hair Dye,Frederic Malle,Fragrance,2141249,2226899.0,33,734876.67,4.000001868068592,32.86586663258812,-3,4,5,40
Hair/APDO,Europe,Hair Dye,Balmain,Mascara,1852695,2130599.3,30,639179.7899999999,15.000002698771242,14.991480936527255,0,15,4,30
Skin/Body,North America,Make Up Brushes,Frederic Malle,Lipstick,3837690,3991197.6,57,2274982.6319999998,4.0000000000000036,37.78506489881332,-3,4,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Lipstick,3484626,4007319.9,58,2324245.542,14.999999999999991,15.827892085507116,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Balmain,Lipstick,2555723,0.0,30,0.0,-100.0,0.0,0,15,4,30
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Mascara,3476242,3719578.9,58,2157355.7619999996,6.999998849332112,40.38030100087436,0,7,6,15
Fragrance + Color Cosmetics,South America,Fragrance,Frederic Malle,Fragrance,3853597,4007740.9,55,2204257.495,4.000000518995628,38.3704055816848,-3,4,5,40
Fragrance + Color Cosmetics,South America,Fragrance,Bobbi Brown,Mascara,3422097,3524759.9,50,1762379.95,2.999999707781509,27.602315546755257,-1,3,7,14
Skin/Body,South America,Tools,Bobbi Brown,Lipstick,3865884,3981860.5,50,1990930.25,2.9999994826539034,57.41316687114973,-1,3,7,14
Skin/Body,Asia,Hair Dye,Aveda,Lipstick,1333727,1533786.1,53,812906.6330000001,15.000003748893143,18.244401182292638,-5,15,5,40
Hair/APDO,North America,Face Make-Up,Bobbi Brown,Mascara,4890886,5037612.6,46,2317301.796,3.000000408923853,20.292880854569198,-1,3,7,14
Hair/APDO,Europe,Tools,Bobbi Brown,Lipstick,4241196,4368431.9,52,2271584.5880000005,3.0000004715651007,24.206639876496283,-1,3,7,14
Hair/APDO,North America,Face Make-Up,Kilian,Lipstick,2507635,2883780.3,46,1326538.938,15.000001993910583,39.584714008027575,0,15,4,30
Skin/Body,Europe,Tools,Balmain,Toner,3725187,4283965.0,46,1970623.9000000001,14.999998657785497,33.333425537889774,-5,15,5,40
Skin/Body,North America,Face Make-Up,Bobbi Brown,Lipstick,4121581,0.0,36,0.0,-100.0,0.0,-1,3,7,14
Hair/APDO,Asia,Make Up Brushes,Balmain,Mascara,1539458,1770376.7,44,778965.748,14.999999999999991,28.838560399343084,0,15,4,30
Skin/Body,Asia,Face Make-Up,Aveda,Bronzer,2919862,3357841.3,50,1678920.65,14.999999999999991,25.413982153243353,-5,15,5,40
Skin/Body,South America,Tools,Aveda,Mascara,4443334,5109834.1,55,2810408.755,14.999999999999991,30.854990501154873,-5,15,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Aveda,Toner,4768764,5484078.6,52,2851720.872,14.999999999999991,29.11886540763573,-5,15,5,40
Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,4908249,5055496.5,39,1971643.635,3.000000611215925,42.601942376887166,-1,3,7,14
Skin/Body,North America,Tools,Frederic Malle,Lipstick,1017313,1058005.5,47,497262.58499999996,3.9999980340367225,32.76231008758361,-3,4,5,40
Skin/Body,North America,Tools,Elizabeth Arden,Toner,1786643,1911708.0,37,707331.96,6.999999440291083,58.34740228178683,0,7,6,15
Skin/Body,South America,Fragrance,Aveda,Bronzer,4942987,5684435.1,33,1875863.5829999999,15.000001011534113,33.44847125472229,-5,15,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Frederic Malle,Mascara,4185501,4352921.0,48,2089402.0799999998,3.999999044319913,73.35706350170948,-3,4,5,40
Hair/APDO,North America,Tools,Frederic Malle,Bronzer,3676083,3823126.3,59,2255644.517,3.999999455942649,35.729171754338566,-3,4,4,30
Skin/Body,South America,Fragrance,Kilian,Toner,2887312,3320408.8,42,1394571.6959999998,14.999999999999991,33.617375645932256,-5,15,5,40
Skin/Body,Asia,Fragrance,Elizabeth Arden,Fragrance,2371403,2537401.2,35,888090.42,6.999999578308724,23.347518380986273,0,7,6,15
Skin/Body,Asia,Tools,Aveda,Fragrance,2034837,2340062.5,45,1053028.125,14.999997542800724,16.67527368096407,-5,15,5,40
Skin/Body,South America,Make Up Brushes,Aveda,Bronzer,923570,1062105.5,32,339873.76,14.999999999999991,7.995133509908365,-5,15,5,40
Skin/Body,Europe,Fragrance,Kilian,Lipstick,1917077,2204638.5,50,1102319.25,14.999997391862706,13.847030780144395,-5,15,5,40
Hair/APDO,Asia,Fragrance,Balmain,Bronzer,2985195,3432974.3,39,1338859.977,15.00000167493245,67.30450365585979,0,15,4,30
Skin/Body,Asia,Hair Dye,Bobbi Brown,Bronzer,4275803,4404077.1,55,2422242.405,3.0000002338741893,32.342685813384584,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Aveda,Lipstick,997562,1147196.3,33,378574.77900000004,15.000000000000014,7.686634132328875,-5,15,5,40
Fragrance + Color Cosmetics,South America,Fragrance,Kilian,Lipstick,2679996,3081995.4,50,1540997.7,14.999999999999991,20.605409358591093,-5,15,5,40
Skin/Body,Europe,Face Make-Up,Aveda,Mascara,1075278,1236569.7,48,593553.456,14.999999999999991,14.36199356834982,-5,15,5,40
Skin/Body,Europe,Hair Dye,Elizabeth Arden,Mascara,1774732,1898963.2,56,1063419.392,6.999997746138575,16.558316587005145,0,7,6,15
Skin/Body,South America,Fragrance,Elizabeth Arden,Lipstick,4571647,4891662.3,47,2299081.281,7.000000218739544,26.740950012575453,0,7,6,15
Hair/APDO,North America,Face Make-Up,Aveda,Mascara,2266616,2606608.4,60,1563965.0399999998,14.999999999999991,11.249314182889885,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Fragrance,3751298,4313992.7,30,1294197.81,15.000000000000014,23.693926393863762,-5,15,5,40
Hair/APDO,North America,Tools,Elizabeth Arden,Bronzer,2832517,3030793.2,46,1394164.8720000002,7.00000035304289,23.693835643004622,0,7,6,15
Hair/APDO,North America,Tools,Aveda,Fragrance,663273,762763.95,39,297477.94049999997,14.999999999999991,5.178044754534467,0,15,4,30
Hair/APDO,North America,Tools,Elizabeth Arden,Lipstick,4477266,4790674.6,43,2059990.0779999997,6.999999553298819,37.452062579365986,0,7,6,15
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Lipstick,4540479,4858312.5,46,2234823.75,6.999999339276752,52.74256209656164,0,7,6,15
Fragrance + Color Cosmetics,Asia,Hair Dye,Frederic Malle,Mascara,4082069,4245351.8,51,2165129.418,4.000000979895235,34.839806753820895,-3,4,5,40
Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,2179748,2245140.4,51,1145021.604,2.999998164925488,18.919475455837308,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Face Make-Up,Kilian,Lipstick,3136694,3607198.1,45,1623239.145,15.000000000000014,38.67619584931677,-5,15,5,40
Hair/APDO,North America,Tools,Elizabeth Arden,Mascara,815826,872933.82,40,349173.528,6.999999999999984,6.824335773981602,0,7,6,15
Hair/APDO,Europe,Make Up Brushes,Frederic Malle,Mascara,1050222,1092230.9,31,338591.57899999997,4.000001904359252,19.77112913576127,-3,4,4,30
Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,2432247,2505214.4,35,876825.0399999999,2.9999995888575492,21.111081673293207,-1,3,7,14
Hair/APDO,Asia,Hair Dye,Balmain,Lipstick,3030179,3484705.9,34,1184800.006,15.00000165006754,38.09923253961743,0,15,4,30
Fragrance + Color Cosmetics,Asia,Fragrance,Frederic Malle,Lipstick,1150199,1196207.0,57,681837.99,4.000003477659075,8.841828834593242,-3,4,5,40
Skin/Body,Europe,Tools,Frederic Malle,Fragrance,3026954,3148032.2,59,1857338.998,4.000001321460456,56.99353488464721,-3,4,5,40
Hair/APDO,Asia,Face Make-Up,Balmain,Lipstick,3857519,4436146.8,52,2306796.336,14.999998703830109,55.96726341363549,0,15,4,30
Hair/APDO,South America,Make Up Brushes,Bobbi Brown,Lipstick,2450367,2523878.0,32,807640.96,2.999999591897873,21.520430518093598,-1,3,7,14
Fragrance + Color Cosmetics,North America,Hair Dye,Balmain,Toner,4650276,5347817.4,50,2673908.7,15.000000000000014,39.43342352328714,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Aveda,Fragrance,2745131,3156900.7,35,1104915.2449999999,15.000001821406705,42.896888222724385,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Kilian,Mascara,1572200,1808030.0,42,759372.6,14.999999999999991,29.021965788373233,-5,15,5,40
Fragrance + Color Cosmetics,North America,Fragrance,Elizabeth Arden,Toner,1929551,2064619.6,60,1238771.76,7.000001554765856,25.73084964238621,0,7,6,15
Skin/Body,North America,Hair Dye,Bobbi Brown,Lipstick,1414032,1456453.0,37,538887.61,3.0000028287902936,9.36936171699747,-1,3,7,14
Hair/APDO,North America,Make Up Brushes,Elizabeth Arden,Mascara,567661,607397.27,57,346216.44389999995,7.000000000000006,5.043466812565058,0,7,6,15
Fragrance + Color Cosmetics,North America,Hair Dye,Elizabeth Arden,Toner,1807506,1934031.4,53,1025036.642,6.999998893502979,39.64585307522293,0,7,6,15
Hair/APDO,South America,Face Make-Up,Bobbi Brown,Fragrance,1130265,0.0,47,0.0,-100.0,0.0,-1,3,7,14
Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Fragrance,2819049,3241906.3,57,1847886.5909999998,14.999998226352208,17.80566046113226,-5,15,5,40
Hair/APDO,North America,Fragrance,Elizabeth Arden,Mascara,3169355,3391209.9,59,2000813.8409999998,7.00000157760805,39.27608544024637,0,7,6,15
Skin/Body,North America,Tools,Bobbi Brown,Lipstick,967010,996020.3,33,328686.699,3.0000000000000027,8.335977608882263,-1,3,7,14
Skin/Body,North America,Hair Dye,Bobbi Brown,Mascara,3068103,3160146.1,44,1390464.284,3.0000003259343044,20.329218923960372,-1,3,7,14
Skin/Body,Asia,Face Make-Up,Frederic Malle,Lipstick,1072735,1115644.4,34,379319.096,3.9999999999999813,21.408231375316088,-3,4,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Aveda,Fragrance,4359744,5013705.6,54,2707401.024,14.999999999999991,21.427814133286958,-5,15,5,40
Skin/Body,Europe,Tools,Elizabeth Arden,Bronzer,4881514,5223220.0,59,3081699.8,7.000000409708962,27.42196826933629,0,7,6,15
Fragrance + Color Cosmetics,Europe,Fragrance,Balmain,Toner,1533255,1763243.3,60,1057945.98,15.000003261036166,14.249835078695916,-5,15,5,40
Skin/Body,Asia,Hair Dye,Bobbi Brown,Bronzer,1671459,1721602.8,40,688641.1200000001,3.0000017948391244,12.643116183375438,-1,3,7,14
Hair/APDO,Europe,Fragrance,Elizabeth Arden,Toner,1025134,1096893.4,59,647167.1059999999,7.000001950964441,36.21461645769924,0,7,6,15
Hair/APDO,Asia,Hair Dye,Balmain,Fragrance,564323,648971.45,41,266078.29449999996,14.999999999999991,7.09538046958933,0,15,4,30
Hair/APDO,Asia,Fragrance,Bobbi Brown,Lipstick,1354016,1394636.5,41,571800.965,3.0000014770874106,10.029969665421813,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Tools,Elizabeth Arden,Toner,3383427,3620266.9,60,2172160.1399999997,7.000000295558317,42.903461127316966,0,7,6,15
Skin/Body,South America,Face Make-Up,Kilian,Mascara,4257974,4896670.1,53,2595235.153,14.999999999999991,24.573047899499425,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Aveda,Mascara,3654240,4202376.0,49,2059164.24,14.999999999999991,57.10311177727561,-5,15,5,40
Hair/APDO,North America,Fragrance,Kilian,Lipstick,2690222,3093755.3,40,1237502.1199999999,14.999999999999991,25.895217261798003,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Elizabeth Arden,Lipstick,2824797,3022532.8,34,1027661.152,7.0000003540077405,72.95416710525183,0,7,6,15
Fragrance + Color Cosmetics,Europe,Tools,Balmain,Lipstick,1884418,2167080.7,31,671795.0170000001,15.000000000000014,33.483489939945656,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Aveda,Toner,2655748,3054110.2,38,1160561.8760000002,15.000000000000014,37.83342085041531,0,15,4,30
Fragrance + Color Cosmetics,Asia,Face Make-Up,Aveda,Fragrance,4563309,5247805.4,34,1784253.8360000004,15.000001095696124,46.99788995113015,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Kilian,Fragrance,1329735,1529195.3,39,596386.167,15.000003760147695,12.621906660746381,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Aveda,Lipstick,3795374,4364680.1,52,2269633.652,14.999999999999991,26.101252720825208,0,15,4,30
Skin/Body,North America,Fragrance,Kilian,Mascara,1414228,1626362.2,43,699335.7459999999,14.999999999999991,36.138597944020624,-5,15,5,40
Hair/APDO,South America,Face Make-Up,Elizabeth Arden,Toner,845266,904434.62,36,325596.4632,7.000000000000006,5.675689002929195,0,7,6,15
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Aveda,Lipstick,4302010,4947311.5,49,2424182.635,14.999999999999991,33.14879366256949,-5,15,5,40
Skin/Body,Europe,Fragrance,Kilian,Fragrance,2861632,3290876.8,34,1118898.112,14.999999999999991,20.66954393804839,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Frederic Malle,Fragrance,3631209,3776457.4,56,2114816.1440000003,4.00000110156149,30.99178872055713,-3,4,5,40
Skin/Body,Europe,Tools,Bobbi Brown,Fragrance,2399443,2471426.3,53,1309855.939,3.000000416763382,13.709445305681042,-1,3,7,14
Hair/APDO,North America,Tools,Aveda,Bronzer,2207692,2538845.8,41,1040926.7779999998,14.999999999999991,17.235026874646948,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Balmain,Bronzer,3192755,3671668.3,33,1211650.539,15.000001566045619,40.275908093438844,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Elizabeth Arden,Mascara,4827819,5165766.3,43,2221279.509,6.999999378601385,46.28488528261413,0,7,6,15
Fragrance + Color Cosmetics,North America,Hair Dye,Kilian,Lipstick,4924507,5663183.1,44,2491800.564,15.000001015330056,79.82336617261645,-5,15,5,40
Hair/APDO,Asia,Make Up Brushes,Bobbi Brown,Bronzer,3181719,3277170.6,34,1114238.0040000002,3.000000942886527,52.12531025550249,-1,3,7,14
Skin/Body,Asia,Hair Dye,Kilian,Bronzer,2914472,3351642.8,60,2010985.6799999997,14.999999999999991,27.872893676788486,-5,15,5,40
Fragrance + Color Cosmetics,South America,Tools,Elizabeth Arden,Lipstick,2776106,2970433.4,51,1514921.034,6.9999992795664046,31.773947549294444,0,7,6,15
Hair/APDO,North America,Tools,Aveda,Mascara,3824323,4397971.5,43,1891127.7449999999,15.000001307420941,29.855754530831042,0,15,4,30
Fragrance + Color Cosmetics,South America,Fragrance,Kilian,Toner,2529454,2908872.1,37,1076282.677,15.000000000000014,19.44795258042388,-5,15,5,40
Skin/Body,South America,Fragrance,Aveda,Lipstick,1011411,1163122.7,39,453617.853,15.000004943588706,6.844070784916689,-5,15,5,40
Skin/Body,North America,Hair Dye,Kilian,Toner,2398739,2758549.9,60,1655129.94,15.000002084428532,42.52183148643275,-5,15,5,40
Skin/Body,Europe,Face Make-Up,Elizabeth Arden,Mascara,2081530,2227237.1,36,801805.356,7.000000000000006,24.208416867211742,0,7,6,15
Fragrance + Color Cosmetics,South America,Fragrance,Balmain,Toner,3249178,3736554.7,41,1531987.427,15.000000000000014,45.75359721447999,-5,15,5,40
Hair/APDO,Europe,Fragrance,Bobbi Brown,Fragrance,4478400,4612752.0,53,2444758.56,3.0000000000000027,62.06412267143475,-1,3,7,14
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Mascara,1795302,1920973.1,57,1094954.667,6.999997771962607,31.744124364942344,0,7,6,15
Skin/Body,Asia,Fragrance,Kilian,Bronzer,3852252,4430089.8,51,2259345.798,14.999999999999991,38.847483251045425,-5,15,5,40
Skin/Body,South America,Fragrance,Aveda,Toner,4596951,5286493.7,56,2960436.4720000005,15.000001087677472,31.106896191447497,-5,15,5,40
Hair/APDO,Europe,Tools,Kilian,Fragrance,3194287,3673430.0,58,2130589.4,14.999998434705454,21.19256709923346,0,15,4,30
Hair/APDO,Europe,Fragrance,Elizabeth Arden,Toner,1805585,1931975.9,44,850069.396,6.999997230814392,63.78538354230076,0,7,6,15
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Kilian,Mascara,4995013,5744265.0,59,3389116.3499999996,15.000001000998386,47.41289530813514,-5,15,5,40
Hair/APDO,South America,Make Up Brushes,Kilian,Fragrance,3948678,0.0,52,0.0,-100.0,0.0,0,15,4,30
Hair/APDO,Asia,Hair Dye,Frederic Malle,Toner,2780827,0.0,43,0.0,-100.0,0.0,-3,4,4,30
Skin/Body,South America,Make Up Brushes,Frederic Malle,Fragrance,4543064,4724786.6,37,1748171.042,4.000000880463039,24.17831479953227,-3,4,5,40
Hair/APDO,South America,Face Make-Up,Aveda,Lipstick,3980130,4577149.5,44,2013945.78,14.999999999999991,47.75646127103056,0,15,4,30
Hair/APDO,North America,Make Up Brushes,Frederic Malle,Toner,1478039,1537160.6,53,814695.1180000001,4.000002706288552,13.887351557170046,-3,4,4,30
