Portfolio,Geography,Category,Brand,Segment,Initial_Sales,New_Sales,Margin (%),Margin ($),Applied_Trend (%),Contribution (%),Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Skin/Body,Asia,Tools,Aveda,Lipstick,4199391,4829299.6,45,2173184.82,14.999998809351167,35.46980179795106,-5,15,5,40
Hair/APDO,North America,Tools,Balmain,Bronzer,2664367,3064022.1,55,1685212.1550000003,15.000001876618363,70.00000045691577,0,15,4,30
Hair/APDO,North America,Fragrance,Aveda,Bronzer,2248014,1822662.6,34,619705.2840000001,-18.921207786072504,30.0,0,15,4,30
Skin/Body,Europe,Make Up Brushes,Aveda,Bronzer,1264121,1453739.2,45,654182.64,15.000003955317576,22.068407211901274,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Tools,Bobbi Brown,Lipstick,1607677,1307142.5,59,771214.075,-18.693711485578255,14.000000214207711,-1,3,7,14
Skin/Body,South America,Hair Dye,Frederic Malle,Fragrance,2141249,2226899.0,33,734876.67,4.000001868068592,30.305353691017235,-3,4,5,40
Hair/APDO,Europe,Hair Dye,Balmain,Mascara,1852695,2130599.3,30,639179.7899999999,15.000002698771242,13.344330687178704,0,15,4,30
Skin/Body,North America,Make Up Brushes,Frederic Malle,Lipstick,3837690,4381133.1,57,2497245.8669999996,14.160682598125419,39.99999981739884,-3,4,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Lipstick,3484626,4007319.9,58,2324245.542,14.999999999999991,15.827892085507116,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Balmain,Lipstick,2555723,0.0,30,0.0,-100.0,0.0,0,15,4,30
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Mascara,3476242,969139.6,58,562100.968,-72.12105486326901,15.000000108343524,0,7,6,15
Fragrance + Color Cosmetics,South America,Fragrance,Frederic Malle,Fragrance,3853597,4007740.9,55,2204257.495,4.000000518995628,39.19137394507344,-3,4,5,40
Fragrance + Color Cosmetics,South America,Fragrance,Bobbi Brown,Mascara,3422097,3524759.9,50,1762379.95,2.999999707781509,32.571514388133025,-1,3,7,14
Skin/Body,South America,Tools,Bobbi Brown,Lipstick,3865884,480816.62,50,240408.31,-87.5625699063914,14.000000075704538,-1,3,7,14
Skin/Body,Asia,Hair Dye,Aveda,Lipstick,1333727,1533786.0,53,812906.5800000001,14.999996251106861,23.194068301060426,-5,15,5,40
Hair/APDO,North America,Face Make-Up,Bobbi Brown,Mascara,4890886,5037612.6,46,2317301.796,3.000000408923853,21.13404340481828,-1,3,7,14
Hair/APDO,Europe,Tools,Bobbi Brown,Lipstick,4241196,4368431.9,52,2271584.5880000005,3.0000004715651007,23.39876541079248,-1,3,7,14
Hair/APDO,North America,Face Make-Up,Kilian,Lipstick,2507635,2883780.3,46,1326538.938,15.000001993910583,39.584714008027575,0,15,4,30
Skin/Body,Europe,Tools,Balmain,Toner,3725187,5711929.6,46,2627487.616,53.332694439232164,39.99999985994226,-5,15,5,40
Skin/Body,North America,Face Make-Up,Bobbi Brown,Lipstick,4121581,0.0,36,0.0,-100.0,0.0,-1,3,7,14
Hair/APDO,Asia,Make Up Brushes,Balmain,Mascara,1539458,1770376.7,44,778965.748,14.999999999999991,43.61298582411497,0,15,4,30
Skin/Body,Asia,Face Make-Up,Aveda,Bronzer,2919862,3357841.3,50,1678920.65,14.999999999999991,18.35337308853812,-5,15,5,40
Skin/Body,South America,Tools,Aveda,Mascara,4443334,5109834.1,55,2810408.755,14.999999999999991,30.854990501154873,-5,15,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Aveda,Toner,4768764,5484078.6,52,2851720.872,14.999999999999991,29.11886540763573,-5,15,5,40
Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,4908249,5055496.5,39,1971643.635,3.000000611215925,45.186770355606136,-1,3,7,14
Skin/Body,North America,Tools,Frederic Malle,Lipstick,1017313,1447554.5,47,680350.615,42.2919494786757,39.99999944734379,-3,4,5,40
Skin/Body,North America,Tools,Elizabeth Arden,Toner,1786643,1911708.0,37,707331.96,6.999999440291083,84.99999982214857,0,7,6,15
Skin/Body,South America,Fragrance,Aveda,Bronzer,4942987,5684435.0,33,1875863.55,14.99999898846589,33.448471059936594,-5,15,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Frederic Malle,Mascara,4185501,4352921.0,48,2089402.0799999998,3.999999044319913,59.99999944864609,-3,4,5,40
Hair/APDO,North America,Tools,Frederic Malle,Bronzer,3676083,2947357.5,59,1738940.9249999998,-19.823423464595336,30.000000427501593,-3,4,4,30
Skin/Body,South America,Fragrance,Kilian,Toner,2887312,3320408.8,42,1394571.6959999998,14.999999999999991,23.890527566911267,-5,15,5,40
Skin/Body,Asia,Fragrance,Elizabeth Arden,Fragrance,2371403,2537401.2,35,888090.42,6.999999578308724,23.113988181136776,0,7,6,15
Skin/Body,Asia,Tools,Aveda,Fragrance,2034837,2340062.5,45,1053028.125,14.999997542800724,17.187078861253056,-5,15,5,40
Skin/Body,South America,Make Up Brushes,Aveda,Bronzer,923570,1062105.5,32,339873.76,14.999999999999991,7.995133509908365,-5,15,5,40
Skin/Body,Europe,Fragrance,Kilian,Lipstick,1917077,2204638.5,50,1102319.25,14.999997391862706,11.528899852372415,-5,15,5,40
Hair/APDO,Asia,Fragrance,Balmain,Bronzer,2985195,3432974.3,39,1338859.977,15.00000167493245,70.0,0,15,4,30
Skin/Body,Asia,Hair Dye,Bobbi Brown,Bronzer,4275803,1499764.8,55,824870.6400000001,-64.92437093102745,13.999999639676844,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Aveda,Lipstick,997562,1147196.3,33,378574.77900000004,15.000000000000014,6.898873980102049,-5,15,5,40
Fragrance + Color Cosmetics,South America,Fragrance,Kilian,Lipstick,2679996,3081995.4,50,1540997.7,14.999999999999991,17.43662759413574,-5,15,5,40
Skin/Body,Europe,Face Make-Up,Aveda,Mascara,1075278,1236569.7,48,593553.456,14.999999999999991,14.36199356834982,-5,15,5,40
Skin/Body,Europe,Hair Dye,Elizabeth Arden,Mascara,1774732,1898963.2,56,1063419.392,6.999997746138575,26.188893655571366,0,7,6,15
Skin/Body,South America,Fragrance,Elizabeth Arden,Lipstick,4571647,4891662.3,47,2299081.281,7.000000218739544,29.708921806106716,0,7,6,15
Hair/APDO,North America,Face Make-Up,Aveda,Mascara,2266616,2606608.4,60,1563965.0399999998,14.999999999999991,11.618482257940316,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Fragrance,3751298,-5788408.3,30,-1736522.49,-254.30414485865958,-71.41980956439235,-5,15,5,40
Hair/APDO,North America,Tools,Elizabeth Arden,Bronzer,2832517,1722474.9,46,792338.454,-39.18924758439226,15.0000003657528,0,7,6,15
Hair/APDO,North America,Tools,Aveda,Fragrance,663273,762763.95,39,297477.94049999997,14.999999999999991,4.207845065471175,0,15,4,30
Hair/APDO,North America,Tools,Elizabeth Arden,Lipstick,4477266,4790674.6,43,2059990.0779999997,6.999999553298819,41.71911053809994,0,7,6,15
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Lipstick,4540479,4858312.5,46,2234823.75,6.999999339276752,75.1952433131065,0,7,6,15
Fragrance + Color Cosmetics,Asia,Hair Dye,Frederic Malle,Mascara,4082069,4245351.8,51,2165129.418,4.000000979895235,30.291879205397045,-3,4,5,40
Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,2179748,1566320.2,51,798823.302,-28.142143036718004,14.000000035752585,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Face Make-Up,Kilian,Lipstick,3136694,3812976.0,45,1715839.2,21.560343469908116,40.0,-5,15,5,40
Hair/APDO,North America,Tools,Elizabeth Arden,Mascara,815826,872933.82,40,349173.528,6.999999999999984,7.601856851021741,0,7,6,15
Hair/APDO,Europe,Make Up Brushes,Frederic Malle,Mascara,1050222,1092230.9,31,338591.57899999997,4.000001904359252,70.00000032044507,-3,4,4,30
Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,2432247,2505214.4,35,876825.0399999999,2.9999995888575492,22.391974316342147,-1,3,7,14
Hair/APDO,Asia,Hair Dye,Balmain,Lipstick,3030179,3484705.8,34,1184799.972,14.999998349932465,59.0102685265869,0,15,4,30
Fragrance + Color Cosmetics,Asia,Fragrance,Frederic Malle,Lipstick,1150199,1196207.0,57,681837.99,4.000003477659075,9.070400889885894,-3,4,5,40
Skin/Body,Europe,Tools,Frederic Malle,Fragrance,3026954,1583638.5,59,934346.715,-47.682108813017976,39.99999949483421,-3,4,5,40
Hair/APDO,Asia,Face Make-Up,Balmain,Lipstick,3857519,4436146.8,52,2306796.336,14.999998703830109,55.96726341363549,0,15,4,30
Hair/APDO,South America,Make Up Brushes,Bobbi Brown,Lipstick,2450367,2523878.0,32,807640.96,2.999999591897873,31.18506260166448,-1,3,7,14
Fragrance + Color Cosmetics,North America,Hair Dye,Balmain,Toner,4650276,5347817.4,50,2673908.7,15.000000000000014,32.150350609199904,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Aveda,Fragrance,2745131,3156900.6,35,1104915.21,14.999998178593298,60.0,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Kilian,Mascara,1572200,1808030.0,42,759372.6,14.999999999999991,30.512247498149026,-5,15,5,40
Fragrance + Color Cosmetics,North America,Fragrance,Elizabeth Arden,Toner,1929551,1051639.1,60,630983.4600000001,-45.498248038015056,15.000000499220711,0,7,6,15
Skin/Body,North America,Hair Dye,Bobbi Brown,Lipstick,1414032,1456453.0,37,538887.61,3.0000028287902936,10.173193646302021,-1,3,7,14
Hair/APDO,North America,Make Up Brushes,Elizabeth Arden,Mascara,567661,607397.27,57,346216.44389999995,7.000000000000006,7.541584342042052,0,7,6,15
Fragrance + Color Cosmetics,North America,Hair Dye,Elizabeth Arden,Toner,1807506,519571.36,53,275372.8208,-71.25479196196306,15.000000028869954,0,7,6,15
Hair/APDO,South America,Face Make-Up,Bobbi Brown,Fragrance,1130265,0.0,47,0.0,-100.0,0.0,-1,3,7,14
Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Fragrance,2819049,3241906.3,57,1847886.5909999998,14.999998226352208,39.99999975323161,-5,15,5,40
Hair/APDO,North America,Fragrance,Elizabeth Arden,Mascara,3169355,0.0,59,0.0,-100.0,0.0,0,7,6,15
Skin/Body,North America,Tools,Bobbi Brown,Lipstick,967010,996020.3,33,328686.699,3.0000000000000027,8.064434522567314,-1,3,7,14
Skin/Body,North America,Hair Dye,Bobbi Brown,Mascara,3068103,3160146.1,44,1390464.284,3.0000003259343044,22.07333722811935,-1,3,7,14
Skin/Body,Asia,Face Make-Up,Frederic Malle,Lipstick,1072735,1115644.4,34,379319.096,3.9999999999999813,26.284300135442628,-3,4,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Aveda,Fragrance,4359744,5013705.6,54,2707401.024,14.999999999999991,21.42781431644539,-5,15,5,40
Skin/Body,Europe,Tools,Elizabeth Arden,Bronzer,4881514,2439592.1,59,1439359.339,-50.02386349808686,15.000000122971379,0,7,6,15
Fragrance + Color Cosmetics,Europe,Fragrance,Balmain,Toner,1533255,1763243.2,60,1057945.92,14.999996738963839,14.249834385696989,-5,15,5,40
Skin/Body,Asia,Hair Dye,Bobbi Brown,Bronzer,1671459,1721602.8,40,688641.1200000001,3.0000017948391244,16.070812289811474,-1,3,7,14
Hair/APDO,Europe,Fragrance,Elizabeth Arden,Toner,1025134,340936.93,59,201152.78869999998,-66.74220833569076,15.000000241980244,0,7,6,15
Hair/APDO,Asia,Hair Dye,Balmain,Fragrance,564323,648971.45,41,266078.29449999996,14.999999999999991,10.98973105006123,0,15,4,30
Hair/APDO,Asia,Fragrance,Bobbi Brown,Lipstick,1354016,1394636.5,41,571800.965,3.0000014770874106,11.702599009905146,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Tools,Elizabeth Arden,Toner,3383427,850218.16,60,510130.896,-74.87109489875206,15.00000001764253,0,7,6,15
Skin/Body,South America,Face Make-Up,Kilian,Mascara,4257974,10020217.0,53,5310715.010000001,135.3282805390545,40.00000047903155,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Aveda,Mascara,3654240,2104600.4,49,1031254.1959999999,-42.40661806558956,40.0,-5,15,5,40
Hair/APDO,North America,Fragrance,Kilian,Lipstick,2690222,3093755.3,40,1237502.1199999999,14.999999999999991,24.362584245425907,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Elizabeth Arden,Lipstick,2824797,3022532.8,34,1027661.152,7.0000003540077405,85.0000000281221,0,7,6,15
Fragrance + Color Cosmetics,Europe,Tools,Balmain,Lipstick,1884418,2167080.7,31,671795.0170000001,15.000000000000014,59.999999446259665,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Aveda,Toner,2655748,3054110.2,38,1160561.8760000002,15.000000000000014,46.232821754485606,0,15,4,30
Fragrance + Color Cosmetics,Asia,Face Make-Up,Aveda,Fragrance,4563309,5247805.4,34,1784253.8360000004,15.000001095696124,36.85081119837966,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Kilian,Fragrance,1329735,1529195.3,39,596386.167,15.000003760147695,14.401142805578202,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Aveda,Lipstick,3795374,4364680.1,52,2269633.652,14.999999999999991,26.101252720825208,0,15,4,30
Skin/Body,North America,Fragrance,Kilian,Mascara,1414228,1915989.7,43,823875.571,35.47954785225578,40.000000417538786,-5,15,5,40
Hair/APDO,South America,Face Make-Up,Elizabeth Arden,Toner,845266,904434.62,36,325596.4632,7.000000000000006,5.675689002929195,0,7,6,15
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Aveda,Lipstick,4302010,6651498.8,49,3259234.412,54.61374566772277,40.0,-5,15,5,40
Skin/Body,Europe,Fragrance,Kilian,Fragrance,2861632,3290876.8,34,1118898.112,14.999999999999991,17.209256326466132,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Frederic Malle,Fragrance,3631209,5605927.3,56,3139319.288,54.38184086897779,40.0000001427061,-3,4,5,40
Skin/Body,Europe,Tools,Bobbi Brown,Fragrance,2399443,2471426.3,53,1309855.939,3.000000416763382,13.547522720075927,-1,3,7,14
Hair/APDO,North America,Tools,Aveda,Bronzer,2207692,2538845.8,41,1040926.7779999998,14.999999999999991,14.005735026573054,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Balmain,Bronzer,3192755,3671668.2,33,1211650.506,14.999998433954387,60.0,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Elizabeth Arden,Mascara,4827819,5165766.3,43,2221279.509,6.999999378601385,46.28488528261413,0,7,6,15
Fragrance + Color Cosmetics,North America,Hair Dye,Kilian,Lipstick,4924507,5663183.0,44,2491800.52,14.999998984669926,59.99999957621006,-5,15,5,40
Hair/APDO,Asia,Make Up Brushes,Bobbi Brown,Bronzer,3181719,3277170.6,34,1114238.0040000002,3.000000942886527,69.22672425804973,-1,3,7,14
Skin/Body,Asia,Hair Dye,Kilian,Bronzer,2914472,5782064.3,60,3469238.5799999996,98.39148566189691,39.99999986164111,-5,15,5,40
Fragrance + Color Cosmetics,South America,Tools,Elizabeth Arden,Lipstick,2776106,2970433.4,51,1514921.034,6.9999992795664046,33.05325546870333,0,7,6,15
Hair/APDO,North America,Tools,Aveda,Mascara,3824323,4397971.5,43,1891127.7449999999,15.000001307420941,24.261742671973245,0,15,4,30
Fragrance + Color Cosmetics,South America,Fragrance,Kilian,Toner,2529454,2908872.1,37,1076282.677,15.000000000000014,16.457169120587128,-5,15,5,40
Skin/Body,South America,Fragrance,Aveda,Lipstick,1011411,1163122.7,39,453617.853,15.000004943588706,6.844070865460738,-5,15,5,40
Skin/Body,North America,Hair Dye,Kilian,Toner,2398739,2485882.2,60,1491529.32,3.632875439970751,40.0,-5,15,5,40
Skin/Body,Europe,Face Make-Up,Elizabeth Arden,Mascara,2081530,2227237.1,36,801805.356,7.000000000000006,25.974097869661488,0,7,6,15
Fragrance + Color Cosmetics,South America,Fragrance,Balmain,Toner,3249178,3736554.7,41,1531987.427,15.000000000000014,48.881932591029134,-5,15,5,40
Hair/APDO,Europe,Fragrance,Bobbi Brown,Fragrance,4478400,4612752.0,53,2444758.56,3.0000000000000027,62.06412267143475,-1,3,7,14
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Mascara,1795302,1920973.1,57,1094954.667,6.999997771962607,31.744124364942344,0,7,6,15
Skin/Body,Asia,Fragrance,Kilian,Bronzer,3852252,4430089.8,51,2259345.798,14.999999999999991,41.71666059119295,-5,15,5,40
Skin/Body,South America,Fragrance,Aveda,Toner,4596951,5286493.6,56,2960436.416,14.999998912322532,31.106895969105107,-5,15,5,40
Hair/APDO,Europe,Tools,Kilian,Fragrance,3194287,5854348.9,58,3395522.362,83.27560735776092,30.00000020497583,0,15,4,30
Hair/APDO,Europe,Fragrance,Elizabeth Arden,Toner,1805585,1931975.9,44,850069.396,6.999997230814392,84.99999975801975,0,7,6,15
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Kilian,Mascara,4995013,4247427.6,59,2505982.2839999995,-14.9666357224696,39.999999623301406,-5,15,5,40
Hair/APDO,South America,Make Up Brushes,Kilian,Fragrance,3948678,0.0,52,0.0,-100.0,0.0,0,15,4,30
Hair/APDO,Asia,Hair Dye,Frederic Malle,Toner,2780827,0.0,43,0.0,-100.0,0.0,-3,4,4,30
Skin/Body,South America,Make Up Brushes,Frederic Malle,Fragrance,4543064,4724786.6,37,1748171.042,4.000000880463039,24.17831479953227,-3,4,5,40
Hair/APDO,South America,Face Make-Up,Aveda,Lipstick,3980130,4577149.5,44,2013945.78,14.999999999999991,37.35993969582771,0,15,4,30
Hair/APDO,North America,Make Up Brushes,Frederic Malle,Toner,1478039,1537160.6,53,814695.1180000001,4.000002706288552,13.371519283961323,-3,4,4,30
Fragrance + Color Cosmetics,South America,Make Up Brushes,Bobbi Brown,Fragrance,1111213,1144549.4,51,583720.194,3.0000008999174765,17.059003814078082,-1,3,7,14
