Portfolio,Geography,Category,Brand,Segment,Initial_Sales,Margin,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Skin/Body,Asia,Fragrance,Bobbi Brown,Bronzer,3951356,59,-1,3,7,14
Fragrance + Color Cosmetics,North America,Face Make-Up,Bobbi Brown,Lipstick,3009079,34,-1,3,7,14
Skin/Body,North America,Tools,Balmain,Bronzer,4835868,30,-5,15,5,40
Skin/Body,Asia,Fragrance,Balmain,Mascara,1188105,54,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Balmain,Mascara,1605534,44,0,15,4,30
Hair/APDO,Europe,Hair Dye,Frederic Malle,Lipstick,998863,37,-3,4,4,30
Hair/APDO,North America,Hair Dye,Frederic Malle,Toner,1297079,47,-3,4,4,30
Skin/Body,Asia,Hair Dye,Kilian,Bronzer,4428083,42,-5,15,5,40
Skin/Body,Asia,Make Up Brushes,Balmain,Bronzer,1496161,31,-5,15,5,40
Hair/APDO,South America,Face Make-Up,Kilian,Mascara,4979125,60,0,15,4,30
Fragrance + Color Cosmetics,Europe,Fragrance,Bobbi Brown,Mascara,2781230,35,-1,3,7,14
Fragrance + Color Cosmetics,South America,Make Up Brushes,Aveda,Lipstick,2485588,37,-5,15,5,40
Skin/Body,South America,Make Up Brushes,Elizabeth Arden,Fragrance,1760386,49,0,7,6,15
Hair/APDO,Asia,Make Up Brushes,Aveda,Mascara,3467197,57,0,15,4,30
Hair/APDO,North America,Face Make-Up,Bobbi Brown,Mascara,4195961,52,-1,3,7,14
Skin/Body,Europe,Tools,Elizabeth Arden,Lipstick,3720468,41,0,7,6,15
Skin/Body,Europe,Hair Dye,Kilian,Mascara,1029525,59,-5,15,5,40
Skin/Body,Asia,Tools,Aveda,Lipstick,4199391,45,-5,15,5,40
Hair/APDO,North America,Tools,Balmain,Bronzer,2664367,55,0,15,4,30
Hair/APDO,North America,Fragrance,Aveda,Bronzer,2248014,34,0,15,4,30
Skin/Body,Europe,Make Up Brushes,Aveda,Bronzer,1264121,45,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Tools,Bobbi Brown,Lipstick,1607677,59,-1,3,7,14
Skin/Body,South America,Hair Dye,Frederic Malle,Fragrance,2141249,33,-3,4,5,40
Hair/APDO,Europe,Hair Dye,Balmain,Mascara,1852695,30,0,15,4,30
Skin/Body,North America,Make Up Brushes,Frederic Malle,Lipstick,3837690,57,-3,4,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Lipstick,3484626,58,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Balmain,Lipstick,2555723,30,0,15,4,30
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Mascara,3476242,58,0,7,6,15
Fragrance + Color Cosmetics,South America,Fragrance,Frederic Malle,Fragrance,3853597,55,-3,4,5,40
Fragrance + Color Cosmetics,South America,Fragrance,Bobbi Brown,Mascara,3422097,50,-1,3,7,14
Skin/Body,South America,Tools,Bobbi Brown,Lipstick,3865884,50,-1,3,7,14
Skin/Body,Asia,Hair Dye,Aveda,Lipstick,1333727,53,-5,15,5,40
Hair/APDO,North America,Face Make-Up,Bobbi Brown,Mascara,4890886,46,-1,3,7,14
Hair/APDO,Europe,Tools,Bobbi Brown,Lipstick,4241196,52,-1,3,7,14
Hair/APDO,North America,Face Make-Up,Kilian,Lipstick,2507635,46,0,15,4,30
Skin/Body,Europe,Tools,Balmain,Toner,3725187,46,-5,15,5,40
Skin/Body,North America,Face Make-Up,Bobbi Brown,Lipstick,4121581,36,-1,3,7,14
Hair/APDO,Asia,Make Up Brushes,Balmain,Mascara,1539458,44,0,15,4,30
Skin/Body,Asia,Face Make-Up,Aveda,Bronzer,2919862,50,-5,15,5,40
Skin/Body,South America,Tools,Aveda,Mascara,4443334,55,-5,15,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Aveda,Toner,4768764,52,-5,15,5,40
Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,4908249,39,-1,3,7,14
Skin/Body,North America,Tools,Frederic Malle,Lipstick,1017313,47,-3,4,5,40
Skin/Body,North America,Tools,Elizabeth Arden,Toner,1786643,37,0,7,6,15
Skin/Body,South America,Fragrance,Aveda,Bronzer,4942987,33,-5,15,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Frederic Malle,Mascara,4185501,48,-3,4,5,40
Hair/APDO,North America,Tools,Frederic Malle,Bronzer,3676083,59,-3,4,4,30
Skin/Body,South America,Fragrance,Kilian,Toner,2887312,42,-5,15,5,40
Skin/Body,Asia,Fragrance,Elizabeth Arden,Fragrance,2371403,35,0,7,6,15
Skin/Body,Asia,Tools,Aveda,Fragrance,2034837,45,-5,15,5,40
Skin/Body,South America,Make Up Brushes,Aveda,Bronzer,923570,32,-5,15,5,40
Skin/Body,Europe,Fragrance,Kilian,Lipstick,1917077,50,-5,15,5,40
Hair/APDO,Asia,Fragrance,Balmain,Bronzer,2985195,39,0,15,4,30
Skin/Body,Asia,Hair Dye,Bobbi Brown,Bronzer,4275803,55,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Aveda,Lipstick,997562,33,-5,15,5,40
Fragrance + Color Cosmetics,South America,Fragrance,Kilian,Lipstick,2679996,50,-5,15,5,40
Skin/Body,Europe,Face Make-Up,Aveda,Mascara,1075278,48,-5,15,5,40
Skin/Body,Europe,Hair Dye,Elizabeth Arden,Mascara,1774732,56,0,7,6,15
Skin/Body,South America,Fragrance,Elizabeth Arden,Lipstick,4571647,47,0,7,6,15
Hair/APDO,North America,Face Make-Up,Aveda,Mascara,2266616,60,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Fragrance,3751298,30,-5,15,5,40
Hair/APDO,North America,Tools,Elizabeth Arden,Bronzer,2832517,46,0,7,6,15
Hair/APDO,North America,Tools,Aveda,Fragrance,663273,39,0,15,4,30
Hair/APDO,North America,Tools,Elizabeth Arden,Lipstick,4477266,43,0,7,6,15
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Lipstick,4540479,46,0,7,6,15
Fragrance + Color Cosmetics,Asia,Hair Dye,Frederic Malle,Mascara,4082069,51,-3,4,5,40
Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,2179748,51,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Face Make-Up,Kilian,Lipstick,3136694,45,-5,15,5,40
Hair/APDO,North America,Tools,Elizabeth Arden,Mascara,815826,40,0,7,6,15
Hair/APDO,Europe,Make Up Brushes,Frederic Malle,Mascara,1050222,31,-3,4,4,30
Hair/APDO,South America,Hair Dye,Bobbi Brown,Lipstick,2432247,35,-1,3,7,14
Hair/APDO,Asia,Hair Dye,Balmain,Lipstick,3030179,34,0,15,4,30
Fragrance + Color Cosmetics,Asia,Fragrance,Frederic Malle,Lipstick,1150199,57,-3,4,5,40
Skin/Body,Europe,Tools,Frederic Malle,Fragrance,3026954,59,-3,4,5,40
Hair/APDO,Asia,Face Make-Up,Balmain,Lipstick,3857519,52,0,15,4,30
Hair/APDO,South America,Make Up Brushes,Bobbi Brown,Lipstick,2450367,32,-1,3,7,14
Fragrance + Color Cosmetics,North America,Hair Dye,Balmain,Toner,4650276,50,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Aveda,Fragrance,2745131,35,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Kilian,Mascara,1572200,42,-5,15,5,40
Fragrance + Color Cosmetics,North America,Fragrance,Elizabeth Arden,Toner,1929551,60,0,7,6,15
Skin/Body,North America,Hair Dye,Bobbi Brown,Lipstick,1414032,37,-1,3,7,14
Hair/APDO,North America,Make Up Brushes,Elizabeth Arden,Mascara,567661,57,0,7,6,15
Fragrance + Color Cosmetics,North America,Hair Dye,Elizabeth Arden,Toner,1807506,53,0,7,6,15
Hair/APDO,South America,Face Make-Up,Bobbi Brown,Fragrance,1130265,47,-1,3,7,14
Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Fragrance,2819049,57,-5,15,5,40
Hair/APDO,North America,Fragrance,Elizabeth Arden,Mascara,3169355,59,0,7,6,15
Skin/Body,North America,Tools,Bobbi Brown,Lipstick,967010,33,-1,3,7,14
Skin/Body,North America,Hair Dye,Bobbi Brown,Mascara,3068103,44,-1,3,7,14
Skin/Body,Asia,Face Make-Up,Frederic Malle,Lipstick,1072735,34,-3,4,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Aveda,Fragrance,4359744,54,-5,15,5,40
Skin/Body,Europe,Tools,Elizabeth Arden,Bronzer,4881514,59,0,7,6,15
Fragrance + Color Cosmetics,Europe,Fragrance,Balmain,Toner,1533255,60,-5,15,5,40
Skin/Body,Asia,Hair Dye,Bobbi Brown,Bronzer,1671459,40,-1,3,7,14
Hair/APDO,Europe,Fragrance,Elizabeth Arden,Toner,1025134,59,0,7,6,15
Hair/APDO,Asia,Hair Dye,Balmain,Fragrance,564323,41,0,15,4,30
Hair/APDO,Asia,Fragrance,Bobbi Brown,Lipstick,1354016,41,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Tools,Elizabeth Arden,Toner,3383427,60,0,7,6,15
Skin/Body,South America,Face Make-Up,Kilian,Mascara,4257974,53,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Aveda,Mascara,3654240,49,-5,15,5,40
Hair/APDO,North America,Fragrance,Kilian,Lipstick,2690222,40,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Elizabeth Arden,Lipstick,2824797,34,0,7,6,15
Fragrance + Color Cosmetics,Europe,Tools,Balmain,Lipstick,1884418,31,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Aveda,Toner,2655748,38,0,15,4,30
Fragrance + Color Cosmetics,Asia,Face Make-Up,Aveda,Fragrance,4563309,34,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Kilian,Fragrance,1329735,39,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Aveda,Lipstick,3795374,52,0,15,4,30
Skin/Body,North America,Fragrance,Kilian,Mascara,1414228,43,-5,15,5,40
Hair/APDO,South America,Face Make-Up,Elizabeth Arden,Toner,845266,36,0,7,6,15
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Aveda,Lipstick,4302010,49,-5,15,5,40
Skin/Body,Europe,Fragrance,Kilian,Fragrance,2861632,34,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Frederic Malle,Fragrance,3631209,56,-3,4,5,40
Skin/Body,Europe,Tools,Bobbi Brown,Fragrance,2399443,53,-1,3,7,14
Hair/APDO,North America,Tools,Aveda,Bronzer,2207692,41,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Balmain,Bronzer,3192755,33,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Elizabeth Arden,Mascara,4827819,43,0,7,6,15
Fragrance + Color Cosmetics,North America,Hair Dye,Kilian,Lipstick,4924507,44,-5,15,5,40
Hair/APDO,Asia,Make Up Brushes,Bobbi Brown,Bronzer,3181719,34,-1,3,7,14
Skin/Body,Asia,Hair Dye,Kilian,Bronzer,2914472,60,-5,15,5,40
Fragrance + Color Cosmetics,South America,Tools,Elizabeth Arden,Lipstick,2776106,51,0,7,6,15
Hair/APDO,North America,Tools,Aveda,Mascara,3824323,43,0,15,4,30
Fragrance + Color Cosmetics,South America,Fragrance,Kilian,Toner,2529454,37,-5,15,5,40
Skin/Body,South America,Fragrance,Aveda,Lipstick,1011411,39,-5,15,5,40
Skin/Body,North America,Hair Dye,Kilian,Toner,2398739,60,-5,15,5,40
Skin/Body,Europe,Face Make-Up,Elizabeth Arden,Mascara,2081530,36,0,7,6,15
Fragrance + Color Cosmetics,South America,Fragrance,Balmain,Toner,3249178,41,-5,15,5,40
Hair/APDO,Europe,Fragrance,Bobbi Brown,Fragrance,4478400,53,-1,3,7,14
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Mascara,1795302,57,0,7,6,15
Skin/Body,Asia,Fragrance,Kilian,Bronzer,3852252,51,-5,15,5,40
Skin/Body,South America,Fragrance,Aveda,Toner,4596951,56,-5,15,5,40
Hair/APDO,Europe,Tools,Kilian,Fragrance,3194287,58,0,15,4,30
Hair/APDO,Europe,Fragrance,Elizabeth Arden,Toner,1805585,44,0,7,6,15
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Kilian,Mascara,4995013,59,-5,15,5,40
Hair/APDO,South America,Make Up Brushes,Kilian,Fragrance,3948678,52,0,15,4,30
Hair/APDO,Asia,Hair Dye,Frederic Malle,Toner,2780827,43,-3,4,4,30
Skin/Body,South America,Make Up Brushes,Frederic Malle,Fragrance,4543064,37,-3,4,5,40
Hair/APDO,South America,Face Make-Up,Aveda,Lipstick,3980130,44,0,15,4,30
Hair/APDO,North America,Make Up Brushes,Frederic Malle,Toner,1478039,53,-3,4,4,30
Fragrance + Color Cosmetics,South America,Make Up Brushes,Bobbi Brown,Fragrance,1111213,51,-1,3,7,14
Hair/APDO,South America,Hair Dye,Frederic Malle,Lipstick,2526580,52,-3,4,4,30
Hair/APDO,Asia,Tools,Balmain,Bronzer,4026737,58,0,15,4,30
Fragrance + Color Cosmetics,North America,Tools,Bobbi Brown,Toner,4316446,39,-1,3,7,14
Fragrance + Color Cosmetics,South America,Make Up Brushes,Bobbi Brown,Fragrance,2205215,34,-1,3,7,14
Fragrance + Color Cosmetics,North America,Hair Dye,Aveda,Bronzer,2483851,32,-5,15,5,40
Skin/Body,Europe,Face Make-Up,Elizabeth Arden,Lipstick,4730258,47,0,7,6,15
Skin/Body,Europe,Fragrance,Frederic Malle,Fragrance,822918,54,-3,4,5,40
Skin/Body,Europe,Face Make-Up,Elizabeth Arden,Bronzer,1786585,55,0,7,6,15
Skin/Body,North America,Hair Dye,Aveda,Toner,1514929,35,-5,15,5,40
Skin/Body,Europe,Make Up Brushes,Kilian,Mascara,4585412,46,-5,15,5,40
Skin/Body,Europe,Hair Dye,Bobbi Brown,Fragrance,1216756,39,-1,3,7,14
Hair/APDO,North America,Face Make-Up,Frederic Malle,Bronzer,4684056,42,-3,4,4,30
Skin/Body,South America,Hair Dye,Aveda,Lipstick,863476,55,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Bobbi Brown,Toner,3796050,30,-1,3,7,14
Skin/Body,Asia,Face Make-Up,Frederic Malle,Fragrance,1376031,50,-3,4,5,40
Skin/Body,South America,Face Make-Up,Elizabeth Arden,Mascara,4631479,52,0,7,6,15
Fragrance + Color Cosmetics,Europe,Tools,Kilian,Mascara,3851278,33,-5,15,5,40
Hair/APDO,South America,Make Up Brushes,Balmain,Lipstick,1179418,59,0,15,4,30
Skin/Body,South America,Hair Dye,Kilian,Mascara,3221864,31,-5,15,5,40
Skin/Body,Asia,Fragrance,Kilian,Lipstick,4375754,58,-5,15,5,40
Fragrance + Color Cosmetics,North America,Face Make-Up,Balmain,Mascara,2158987,34,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Bobbi Brown,Toner,3891418,34,-1,3,7,14
Hair/APDO,North America,Tools,Kilian,Mascara,3477590,54,0,15,4,30
Skin/Body,South America,Make Up Brushes,Elizabeth Arden,Toner,1691902,37,0,7,6,15
Skin/Body,North America,Tools,Elizabeth Arden,Lipstick,1275435,47,0,7,6,15
Hair/APDO,South America,Hair Dye,Kilian,Fragrance,2064718,55,0,15,4,30
Fragrance + Color Cosmetics,Asia,Fragrance,Frederic Malle,Fragrance,2024102,51,-3,4,5,40
Fragrance + Color Cosmetics,South America,Tools,Kilian,Toner,704615,45,-5,15,5,40
Fragrance + Color Cosmetics,South America,Tools,Frederic Malle,Bronzer,781570,36,-3,4,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Kilian,Toner,3047500,41,-5,15,5,40
Fragrance + Color Cosmetics,South America,Tools,Balmain,Mascara,1309942,52,-5,15,5,40
Hair/APDO,South America,Fragrance,Bobbi Brown,Fragrance,2188472,51,-1,3,7,14
Skin/Body,Europe,Fragrance,Aveda,Mascara,2808989,41,-5,15,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Frederic Malle,Mascara,1520154,59,-3,4,5,40
Hair/APDO,North America,Tools,Frederic Malle,Toner,3303696,56,-3,4,4,30
Skin/Body,Europe,Tools,Bobbi Brown,Lipstick,3206871,45,-1,3,7,14
Hair/APDO,North America,Hair Dye,Elizabeth Arden,Lipstick,4944499,60,0,7,6,15
Skin/Body,North America,Fragrance,Balmain,Fragrance,1049239,43,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Frederic Malle,Fragrance,1770464,54,-3,4,5,40
Skin/Body,Europe,Fragrance,Kilian,Lipstick,3688729,53,-5,15,5,40
Skin/Body,North America,Tools,Balmain,Bronzer,1410775,35,-5,15,5,40
Hair/APDO,Europe,Face Make-Up,Elizabeth Arden,Fragrance,4873656,31,0,7,6,15
Hair/APDO,Asia,Make Up Brushes,Balmain,Bronzer,931413,58,0,15,4,30
Skin/Body,South America,Tools,Elizabeth Arden,Mascara,3707393,40,0,7,6,15
Skin/Body,Europe,Fragrance,Kilian,Mascara,645271,32,-5,15,5,40
Fragrance + Color Cosmetics,North America,Tools,Elizabeth Arden,Lipstick,576898,38,0,7,6,15
Fragrance + Color Cosmetics,North America,Tools,Balmain,Mascara,2329553,32,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Fragrance,Balmain,Toner,2175843,35,-5,15,5,40
Fragrance + Color Cosmetics,North America,Hair Dye,Balmain,Lipstick,3114235,53,-5,15,5,40
Skin/Body,North America,Face Make-Up,Kilian,Mascara,1642953,41,-5,15,5,40
Skin/Body,South America,Fragrance,Aveda,Toner,1105409,56,-5,15,5,40
Hair/APDO,Europe,Face Make-Up,Aveda,Mascara,4657893,47,0,15,4,30
Skin/Body,Asia,Tools,Bobbi Brown,Fragrance,4666769,42,-1,3,7,14
Skin/Body,Asia,Tools,Balmain,Mascara,1156951,32,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Face Make-Up,Aveda,Fragrance,2866610,30,-5,15,5,40
Skin/Body,South America,Face Make-Up,Kilian,Fragrance,2255692,40,-5,15,5,40
Skin/Body,North America,Hair Dye,Bobbi Brown,Toner,2226470,35,-1,3,7,14
Skin/Body,South America,Tools,Frederic Malle,Lipstick,1209662,48,-3,4,5,40
Hair/APDO,Europe,Hair Dye,Balmain,Fragrance,2639686,59,0,15,4,30
Hair/APDO,Europe,Make Up Brushes,Frederic Malle,Fragrance,4261675,58,-3,4,4,30
Hair/APDO,Europe,Tools,Elizabeth Arden,Toner,4598064,46,0,7,6,15
Hair/APDO,Europe,Make Up Brushes,Aveda,Toner,1100530,45,0,15,4,30
Fragrance + Color Cosmetics,South America,Hair Dye,Kilian,Mascara,2164221,60,-5,15,5,40
Skin/Body,North America,Make Up Brushes,Bobbi Brown,Bronzer,638563,47,-1,3,7,14
Hair/APDO,Asia,Fragrance,Bobbi Brown,Lipstick,4441237,39,-1,3,7,14
Skin/Body,Europe,Hair Dye,Balmain,Mascara,4076511,47,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Bobbi Brown,Toner,3273939,32,-1,3,7,14
Skin/Body,Asia,Tools,Balmain,Lipstick,3677326,35,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Balmain,Mascara,3034937,52,0,15,4,30
Fragrance + Color Cosmetics,Europe,Hair Dye,Aveda,Bronzer,3210626,46,-5,15,5,40
Skin/Body,North America,Tools,Aveda,Toner,944191,49,-5,15,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Elizabeth Arden,Toner,4222946,56,0,7,6,15
Skin/Body,Europe,Make Up Brushes,Bobbi Brown,Fragrance,1910706,50,-1,3,7,14
Skin/Body,North America,Face Make-Up,Balmain,Lipstick,1419484,55,-5,15,5,40
Hair/APDO,Asia,Fragrance,Kilian,Bronzer,4061963,47,0,15,4,30
Hair/APDO,Asia,Make Up Brushes,Elizabeth Arden,Lipstick,2942266,46,0,7,6,15
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Balmain,Fragrance,4477019,41,-5,15,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Elizabeth Arden,Lipstick,1018349,59,0,7,6,15
Hair/APDO,North America,Make Up Brushes,Bobbi Brown,Bronzer,4497615,38,-1,3,7,14
Skin/Body,Asia,Tools,Aveda,Mascara,1109996,53,-5,15,5,40
Skin/Body,Asia,Tools,Frederic Malle,Mascara,888590,43,-3,4,5,40
Hair/APDO,Europe,Face Make-Up,Aveda,Lipstick,2879877,30,0,15,4,30
Skin/Body,Asia,Face Make-Up,Elizabeth Arden,Toner,1936536,53,0,7,6,15
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Bobbi Brown,Lipstick,2278599,39,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Fragrance,Frederic Malle,Lipstick,4870380,30,-3,4,5,40
Fragrance + Color Cosmetics,North America,Tools,Bobbi Brown,Mascara,4382149,51,-1,3,7,14
Hair/APDO,Europe,Hair Dye,Frederic Malle,Mascara,2491083,39,-3,4,4,30
Skin/Body,Asia,Face Make-Up,Aveda,Toner,1943717,56,-5,15,5,40
Skin/Body,Europe,Fragrance,Kilian,Mascara,864359,41,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Elizabeth Arden,Toner,657702,60,0,7,6,15
Hair/APDO,Asia,Make Up Brushes,Elizabeth Arden,Mascara,2368670,51,0,7,6,15
Hair/APDO,South America,Fragrance,Bobbi Brown,Mascara,1432817,43,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Aveda,Lipstick,2680338,42,-5,15,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Aveda,Fragrance,764500,52,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Bobbi Brown,Mascara,2440369,35,-1,3,7,14
Hair/APDO,Europe,Tools,Kilian,Toner,1890281,32,0,15,4,30
Hair/APDO,South America,Tools,Aveda,Lipstick,2068560,36,0,15,4,30
Fragrance + Color Cosmetics,North America,Hair Dye,Aveda,Bronzer,1495843,34,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Frederic Malle,Lipstick,2863999,48,-3,4,5,40
Skin/Body,Asia,Hair Dye,Aveda,Mascara,2116449,33,-5,15,5,40
Hair/APDO,Europe,Make Up Brushes,Elizabeth Arden,Mascara,2877074,48,0,7,6,15
Fragrance + Color Cosmetics,Europe,Tools,Bobbi Brown,Toner,4662065,42,-1,3,7,14
Skin/Body,South America,Fragrance,Balmain,Mascara,4852099,37,-5,15,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Bobbi Brown,Mascara,4459076,52,-1,3,7,14
Skin/Body,Europe,Tools,Kilian,Bronzer,2698611,58,-5,15,5,40
Fragrance + Color Cosmetics,South America,Fragrance,Balmain,Lipstick,3113275,54,-5,15,5,40
Fragrance + Color Cosmetics,South America,Tools,Aveda,Lipstick,561367,37,-5,15,5,40
Skin/Body,South America,Face Make-Up,Frederic Malle,Toner,3984239,51,-3,4,5,40
Fragrance + Color Cosmetics,North America,Hair Dye,Bobbi Brown,Lipstick,1423780,30,-1,3,7,14
Hair/APDO,Asia,Fragrance,Kilian,Bronzer,798090,57,0,15,4,30
